id,created_at,text
929086968289411072,2017-11-10 20:42:49,RT @coffeemomx: All I want for Christmas is sweaters from https://t.co/pNg9OW9of9 😍❄️ https://t.co/WwvYerp70C
929086962778095616,2017-11-10 20:42:48,"RT @HorryPuttor: I swear, If my Hogwarts Letter got delivered today, I’d march to Hogwarts as a fully grown adult and happily take 7 more y…"
929086957681905664,2017-11-10 20:42:46,RT @HorryPuttor: same https://t.co/DGv2UeVkKR
928819550023503872,2017-11-10 03:00:12,You were born on your birthday.
928774455794552838,2017-11-10 00:01:00,"In a year from now, you'll be a year older than you are today."
928457141014364161,2017-11-09 03:00:06,Your chances of getting into an accident increase significantly when you drive on the wrong side of the road.
928411977600393216,2017-11-09 00:00:39,Females don't have a penis.
928094773801635840,2017-11-08 03:00:11,"Dwayne ""The Rock"" Johnson isn't an actual rock."
928049519517949953,2017-11-08 00:00:22,"If you fill a bottle of water, take it into a dark room and pour the water on the floor, you've just wasted your time."
927732551447347201,2017-11-07 03:00:51,One day you will die.
927687324988829697,2017-11-07 00:01:08,The Great Wall of China is in China.
927370011777425408,2017-11-06 03:00:15,If you hop out the muh fuckin' Porsche while it's driving you'll likely be critically injured.
927324828251643906,2017-11-06 00:00:42,Drug addicts tend to do more drugs than people who don't do drugs.
926992463625154560,2017-11-05 02:00:00,Blind people can't see.
926947235392344066,2017-11-04 23:00:17,Your parents had sex.
926630196500983810,2017-11-04 02:00:29,If you took all the veins and arteries out of your body and laid them down on the ground side by side you would be dead.
926584801804607495,2017-11-03 23:00:06,"The word ""Potato"" is the only word in the English language that begins with ""p"" and ends with ""otato""."
926267733972529152,2017-11-03 02:00:11,"If you die, you can't eat ice cream anymore."
926222439599796224,2017-11-02 23:00:12,You're on twitter.
925905383000027137,2017-11-02 02:00:20,Committing suicide may result in death.
925860082444849152,2017-11-01 23:00:19,You can skydive without a parachute. But only once.
925542951496880129,2017-11-01 02:00:10,Twitter did not exist during World War II.
925497613167841283,2017-10-31 23:00:00,The day you were born is known as your birthday.
925180646410129408,2017-10-31 02:00:29,There are 6 beers in a six pack of beer.
925135348627361792,2017-10-30 23:00:29,Sunburns are normally caused by the sun.
924818161848979456,2017-10-30 02:00:06,"If the shoe fits, it’s the right size."
924772933641351170,2017-10-29 23:00:23,"If this tweet gets 1,000 retweets then it will have been retweeted 1,000 times."
924455768971243520,2017-10-29 02:00:05,A day without sunshine is like... night.
924410677770498053,2017-10-28 23:00:54,This is a tweet.
924093400932077568,2017-10-28 02:00:10,Sharks can't climb trees.
924048129275686912,2017-10-27 23:00:16,Tomorrow is not Christmas.
922961102098653184,2017-10-24 23:00:49,A crime is illegal.
922643838216409090,2017-10-24 02:00:07,You can't smell music.
922598634339885056,2017-10-23 23:00:30,Spiders cannot fly and we should all be very happy about that.
922281519019909121,2017-10-23 02:00:23,Fire is hot.
922236194347470848,2017-10-22 23:00:17,Water is wet.
921919092851953664,2017-10-22 02:00:14,Dead people can't cook.
921873913373749250,2017-10-21 23:00:43,Water that falls from the sky is called rain.
921556819738324992,2017-10-21 02:00:42,The human body contains enough bones to make up an human skeleton.
921511356712529923,2017-10-20 23:00:02,You cannot ride a bike without a bike.
921194416248885248,2017-10-20 02:00:38,The person you see in the mirror isn't your twin.
921149158622420993,2017-10-19 23:00:48,"No matter where you go, you will always be where you are."
920831997018243072,2017-10-19 02:00:30,Are you awake right now? That means you're not sleeping.
920786585993535488,2017-10-18 23:00:04,Microwaves do not have toes.
920469544484909056,2017-10-18 02:00:15,"If you have 2 pens, and your friend Mike has 4 pens, then you have at least one friend."
920424394526257153,2017-10-17 23:00:50,"The letter ""t"" does not appear in the word ""cucumber""."
920107213397557248,2017-10-17 02:00:29,The only cure for world hunger is food.
920061807464779777,2017-10-16 23:00:03,Curtains are not typically made of lettuce.
919744911402065920,2017-10-16 02:00:49,It's easier to text with a cellphone than it is with a carrot.
919699473600827392,2017-10-15 23:00:16,They show sharks during Shark Week.
919382393362018304,2017-10-15 02:00:18,DVD players play DVDs.
919337128542208000,2017-10-14 23:00:26,Your chance of death increases by 100% after you're born.
919020017743749120,2017-10-14 02:00:21,Today you will breathe.
918974715343106053,2017-10-13 23:00:20,Your belly button isn't an actual button.
918657542229839872,2017-10-13 02:00:00,100% of all murderers have killed someone.
918612485116186631,2017-10-12 23:00:58,Rocks are not made of toothpaste.
918295157262422016,2017-10-12 02:00:01,Miley Cyrus and Hannah Montana were the same people.
918250068171509760,2017-10-11 23:00:51,It is not 2011 anymore.
917932821565624320,2017-10-11 02:00:13,Unsharpened pencils are pointless.
917887719736594434,2017-10-10 23:01:00,You have a 0% chance of turning into a hippo within the next year.
917570489677156352,2017-10-10 02:00:27,It gets dark at night.
917525165289897984,2017-10-09 23:00:20,Ice is actually frozen water.
917208163509784578,2017-10-09 02:00:41,Studies have shown that people who have experienced more birthdays tend to be older.
917162795921223680,2017-10-08 23:00:25,You are not a turtle.
917143664475951104,2017-10-08 21:44:23,Alcohol will get you drunk.
916845664738463744,2017-10-08 02:00:15,If you keep your socks dry they won't get wet.
916800326958755840,2017-10-07 23:00:05,You can't read this tweet with both eyes closed.
916483248125104128,2017-10-07 02:00:08,TV is short for television.
916438045217427456,2017-10-06 23:00:31,Adult dogs tend to be older than puppies.
916120890022047744,2017-10-06 02:00:15,"If you hate sarcasm, avoid asking dumb questions."
916075688876216324,2017-10-05 23:00:38,"The more food you eat, the less likely you are to be hungry."
915758711536267264,2017-10-05 02:01:05,Don't set your house on fire.
915713370132762624,2017-10-04 23:00:55,Living people are more likely to breathe.
915396120809017344,2017-10-04 02:00:17,Bottled water contains water.
915350776700076032,2017-10-03 23:00:06,"Open your eyes. Do you see anything? Congrats, you're not blind."
915033749099810818,2017-10-03 02:00:20,Staring directly at the sun is not good for your eyes.
914988366285942790,2017-10-02 23:00:00,If you are allergic to peanuts you shouldn't eat peanuts.
914671293039022081,2017-10-02 02:00:04,If you pour water on your hands you have wet hands.
914625980504866816,2017-10-01 23:00:01,"If you die, you can't eat ice cream anymore."
914308887255371777,2017-10-01 02:00:00,Disneyland is more fun than jail.
914263770138124288,2017-09-30 23:00:43,If you eat crayons you should probably stop eating crayons.
913946499263946753,2017-09-30 02:00:00,"Humans sometimes keep animals in their homes. They're often referred to as ""pets."""
913901428716032000,2017-09-29 23:00:54,"""Age"" is not a number, it's a word."
913584259742535682,2017-09-29 02:00:35,"If you have a sandwich, and you eat half of it, you will have half a sandwich left."
913538912936775680,2017-09-28 23:00:24,"The dinosaurs seen in the movie ""Jurassic World"" are not real."
913221825466916864,2017-09-28 02:00:24,Bananas cannot legally drive vehicles in the United States.
913176655501385728,2017-09-27 23:00:55,Sunscreen will not work if you eat it.
912859350791802882,2017-09-27 02:00:03,It's easier to see the sun during the daytime than it is at night.
912814134210826242,2017-09-26 23:00:23,"In ""Harry Potter"" the main character is Harry Potter."
912496951479894016,2017-09-26 02:00:01,"If you drop your cat from 30,000 feet, there's a high chance it won't meow anymore."
912451819414147072,2017-09-25 23:00:40,Goldfish are not made of gold.
912134619595771904,2017-09-25 02:00:14,We will have flying cars when cars fly.
912089391148994560,2017-09-24 23:00:31,Your funeral will not start without you.
911772199975051267,2017-09-24 02:00:07,Getting shot in the head is bad for your health.
911726921502937089,2017-09-23 23:00:11,Older brothers tend to be older than younger brothers.
911409975548944384,2017-09-23 02:00:46,Hamburgers are not actually made of ham.
911364670728163333,2017-09-22 23:00:44,A human is not a tree.
911047492334227462,2017-09-22 02:00:23,Antarctica is cold.
911002237081702405,2017-09-21 23:00:33,Dead people don't make good dance partners.
910685007995424769,2017-09-21 02:00:00,Fire is generally hot.
910639737848975362,2017-09-20 23:00:07,A similarity between raccoons and humans is that both are injured when hit by a car.
910322770504011777,2017-09-20 02:00:36,Cheetahs are faster than turtles.
910277544318038017,2017-09-19 23:00:53,Baby oil isn't actually made from babies.
909960232557858816,2017-09-19 02:00:00,Trees don't have eyeballs.
909914938587729922,2017-09-18 23:00:01,"If you take your age and minus 5, that's how old you were 5 years ago."
909597957892313088,2017-09-18 02:00:27,"Every 60 seconds in Africa, one minute passes by."
909552548725616647,2017-09-17 23:00:00,Fish are really good swimmers.
909235499159687168,2017-09-17 02:00:10,Turtles are not good at basketball.
909190281601458177,2017-09-16 23:00:29,A puppy and a crocodile will not react the same way if you pet them.
908873107749957637,2017-09-16 02:00:09,If you eat spoons you should probably stop eating spoons.
908827803671547906,2017-09-15 23:00:08,Playing dodgeball with live grenades is somewhat dangerous.
908510780177383424,2017-09-15 02:00:23,Walking a dog is easier than walking a grizzly bear.
908465465902747648,2017-09-14 23:00:20,There are 4 letters in the first 4 letters of the alphabet.
908148424943566848,2017-09-14 02:00:31,Today is the day after yesterday.
908103171968585728,2017-09-13 23:00:42,Ketchup does not have a gender.
907785986939211781,2017-09-13 02:00:19,"If you are hungry, eating may help."
907740616079101952,2017-09-12 23:00:02,Running the fastest in a race can help you win first place.
907423531167830016,2017-09-12 02:00:03,Kangaroos and tomatoes are not related.
907378234043576320,2017-09-11 23:00:03,"If you jump in a pool, you will probably get wet."
907061212889927680,2017-09-11 02:00:20,Chopping down a tree with a tube of toothpaste is difficult.
907015981373030402,2017-09-10 23:00:36,It is easier to see when your eyes are not closed.
906698805223010304,2017-09-10 02:00:15,Today is not Christmas.
906653591728992257,2017-09-09 23:00:35,"If you trade a $100 bill for a $10 bill, you are probably not smart or you are very nice."
906336477973544960,2017-09-09 02:00:29,A duck is not a giraffe.
906291066395086848,2017-09-08 23:00:02,A blue shirt is probably blue.
905974083271237633,2017-09-08 02:00:28,100% of teenagers are not 63 years of age.
905928968766980097,2017-09-07 23:01:12,Typically humans are born naked.
905611724774146048,2017-09-07 02:00:35,Living people are more likely to breathe.
905566304542875649,2017-09-06 23:00:06,Don't set your house on fire.
905249226376040448,2017-09-06 02:00:08,Studies have proven that 100% of divorced men were once married.
905203911115636737,2017-09-05 23:00:04,The sun is not cold.
904886827424862210,2017-09-05 02:00:06,"If you are hungry and you eat something, chances are you will be less hungry."
904841509182332928,2017-09-04 23:00:01,"Every 60 seconds in Africa, a minute passes."
904524590914908161,2017-09-04 02:00:42,"If you die, you can't eat ice cream anymore."
904479152652374016,2017-09-03 23:00:09,Disneyland is more fun than jail.
904162124276146177,2017-09-03 02:00:23,This is a tweet.
904116915722997760,2017-09-02 23:00:45,Ignoring someone is great way to let them know you don't want to talk to them.
903799809953460229,2017-09-02 02:00:41,It gets dark at night.
903754495099904002,2017-09-01 23:00:37,Most people tend to eat breakfast before they eat dinner.
903392014523400192,2017-08-31 23:00:15,Twitter did not exist during World War II.
903074987325747200,2017-08-31 02:00:29,Deaf people can't hear.
903029650712137730,2017-08-30 23:00:20,Many people were born as babies.
902712492568215556,2017-08-30 02:00:04,Blind people can't see.
902667177836339200,2017-08-29 23:00:00,If you took all the veins and arteries out of your body and laid them down on the ground side by side you would be dead.
902350192229441537,2017-08-29 02:00:25,Babies are not dishwasher safe.
902304979846881286,2017-08-28 23:00:45,A great way to win in life is to not lose.
901987779621609473,2017-08-28 02:00:19,Drug addicts tend to do more drugs than people who don't do drugs.
901942519130402816,2017-08-27 23:00:28,Earphones aren't the greatest present to give to a deaf person.
901625327042138113,2017-08-27 02:00:04,If you hop out the muh fuckin' Porsche while it's driving you'll likely be critically injured.
901580171307868164,2017-08-26 23:00:38,Lack of light is the #1 cause of darkness.
901262974672916481,2017-08-26 02:00:12,If you keep your socks dry they won't get wet.
901217729536983044,2017-08-25 23:00:25,Sex is a good way to make babies.
900855263959371780,2017-08-24 23:00:06,Orphans tend to have bad relationships with their parents.
